claim_ids	premises	hypotheses	labels
1125	Patients who used azathioprine, methotrexate, mycophenolate mofetil, ciclosporin, systemic corticosteroids, or dapsone had overall and cancer mortality similar to that of patients who never took immunosuppressive drugs.	Systemic immunosuppressive (IS) therapy does not enhance the chance of cancer mortality in patients with inflammatory eye disease (IED)	entailment
1125	CONCLUSIONS Most commonly used immunosuppressive drugs do not seem to increase overall or cancer mortality.	Systemic immunosuppressive (IS) therapy does not enhance the chance of cancer mortality in patients with inflammatory eye disease (IED)	entailment
1125	In patients who used cyclophosphamide, overall mortality was not increased and cancer mortality was non-significantly increased.	Systemic immunosuppressive (IS) therapy does not enhance the chance of cancer mortality in patients with inflammatory eye disease (IED)	neutral
1125	Our results suggesting that tumour necrosis factor inhibitors might increase mortality are less robust than the other findings; additional evidence is needed.	Systemic immunosuppressive (IS) therapy does not enhance the chance of cancer mortality in patients with inflammatory eye disease (IED)	neutral
1126	Patients who used azathioprine, methotrexate, mycophenolate mofetil, ciclosporin, systemic corticosteroids, or dapsone had overall and cancer mortality similar to that of patients who never took immunosuppressive drugs.	Systemic immunosuppressive (IS) therapy increases the chance of cancer mortality in patients with inflammatory eye disease (IED)	contradiction
1126	CONCLUSIONS Most commonly used immunosuppressive drugs do not seem to increase overall or cancer mortality.	Systemic immunosuppressive (IS) therapy increases the chance of cancer mortality in patients with inflammatory eye disease (IED)	contradiction
1126	For patients unexposed to immunosuppressive treatment, risks of death overall (standardised mortality ratio 1.02, 95% confidence interval [CI] 0.94 to 1.11) and from cancer (1.10, 0.93 to 1.29) were similar to those of the US population.	Systemic immunosuppressive (IS) therapy increases the chance of cancer mortality in patients with inflammatory eye disease (IED)	neutral
1126	OBJECTIVE To assess whether immunosuppressive drugs increase mortality.	Systemic immunosuppressive (IS) therapy increases the chance of cancer mortality in patients with inflammatory eye disease (IED)	neutral
1127	Risk factors considered included those already in QRISK2 (age, ethnicity, deprivation, systolic blood pressure, body mass index, total cholesterol: high density lipoprotein cholesterol ratio, smoking, family history of coronary heart disease in a first degree relative aged less than 60 years, type 1 diabetes, type 2 diabetes, treated hypertension, rheumatoid arthritis, atrial fibrillation, chronic kidney disease (stage 4 or 5)) and new risk factors (chronic kidney disease (stage 3, 4, or 5), a measure of systolic blood pressure variability (standard deviation of repeated measures), migraine, corticosteroids, systemic lupus erythematosus (SLE), atypical antipsychotics, severe mental illness, and HIV/AIDs).	Systemic lupus erythematosus is a risk factor for cardiovascular disease.	entailment
1127	Methods Cox proportional hazards models in the derivation cohort to derive separate risk equations in men and women for evaluation at 10 years.	Systemic lupus erythematosus is a risk factor for cardiovascular disease.	neutral
1128	T cell receptor (TCR-CD3) triggering involves both receptor clustering and conformational changes at the cytoplasmic tails of the CD3 subunits.	T cell receptor /CD3 microdomains are required to induce the immunologic synapse.	entailment
1128	This conformational change at CD3 reverts upon ligand dissociation and is required for T cell activation.	T cell receptor /CD3 microdomains are required to induce the immunologic synapse.	entailment
1128	The mechanism by which TCRalphabeta ligand binding confers conformational changes to CD3 is unknown.	T cell receptor /CD3 microdomains are required to induce the immunologic synapse.	neutral
1128	The conformational change is elicited by cooperative rearrangements of two TCR-CD3 complexes and does not require accompanying changes in the structure of the TCRalphabeta ectodomains.	T cell receptor /CD3 microdomains are required to induce the immunologic synapse.	neutral
1133	Here, we report the identification and characterization of transmembrane protein 27 (Tmem27, collectrin) in pancreatic beta cells.	TMEM27 is a marker for beta cells.	entailment
1133	This cleavage process is beta cell specific and does not occur in other cell types.	TMEM27 is a marker for beta cells.	entailment
1133	Furthermore, transgenic mice with increased expression of Tmem27 in pancreatic beta cells exhibit increased beta cell mass.	TMEM27 is a marker for beta cells.	entailment
1133	Our results identify a pancreatic beta cell transmembrane protein that regulates cell growth of pancreatic islets.	TMEM27 is a marker for beta cells.	neutral
1133	The signals and molecular mechanisms that regulate the replication of terminally differentiated beta cells are unknown.	TMEM27 is a marker for beta cells.	neutral
1133	Tmem27 forms dimers and its extracellular domain is glycosylated, cleaved and shed from the plasma membrane of beta cells.	TMEM27 is a marker for beta cells.	neutral
1134	Inhibiting A20 expression decreased GSC growth and survival through mechanisms associated with decreased cell-cycle progression and decreased phosphorylation of p65/RelA. Elevated levels of A20 in GSCs contributed to apoptotic resistance: GSCs were less susceptible to TNFalpha-induced cell death than matched non-stem glioma cells, but A20 knockdown sensitized GSCs to TNFalpha-mediated apoptosis.	TNFAIP3 is a glioblastoma tumor enhancer.	entailment
1134	Although inactivating mutations in A20 in lymphoma suggest A20 can act as a tumor suppressor, similar point mutations have not been identified through glioma genomic sequencing: in fact, our data suggest A20 may function as a tumor enhancer in glioma through promotion of GSC survival.	TNFAIP3 is a glioblastoma tumor enhancer.	entailment
1134	GSCs are regulated by molecular pathways distinct from the bulk tumor that may be useful therapeutic targets.	TNFAIP3 is a glioblastoma tumor enhancer.	neutral
1134	We determined that A20 (TNFAIP3), a regulator of cell survival and the NF-kappaB pathway, is overexpressed in GSCs relative to non-stem glioblastoma cells at both the mRNA and protein levels.	TNFAIP3 is a glioblastoma tumor enhancer.	neutral
1135	Inhibiting A20 expression decreased GSC growth and survival through mechanisms associated with decreased cell-cycle progression and decreased phosphorylation of p65/RelA. Elevated levels of A20 in GSCs contributed to apoptotic resistance: GSCs were less susceptible to TNFalpha-induced cell death than matched non-stem glioma cells, but A20 knockdown sensitized GSCs to TNFalpha-mediated apoptosis.	TNFAIP3 is a glioblastoma tumor suppressor.	contradiction
1135	Although inactivating mutations in A20 in lymphoma suggest A20 can act as a tumor suppressor, similar point mutations have not been identified through glioma genomic sequencing: in fact, our data suggest A20 may function as a tumor enhancer in glioma through promotion of GSC survival.	TNFAIP3 is a glioblastoma tumor suppressor.	contradiction
1135	In silico analysis of a glioma patient genomic database indicates that A20 overexpression and amplification is inversely correlated with survival.	TNFAIP3 is a glioblastoma tumor suppressor.	neutral
1135	Together these data indicate that A20 contributes to glioma maintenance through effects on the glioma stem cell subpopulation.	TNFAIP3 is a glioblastoma tumor suppressor.	neutral
1136	The tumorigenic potential of GSCs was decreased with A20 targeting, resulting in increased survival of mice bearing human glioma xenografts.	TNFAIP3 is a tumor enhancer in glioblastoma.	entailment
